transaction_id,loan_id,customer_id,transaction_date,transaction_amount,transaction_type,payment_method,status,remarks
1098,318,814,10/3/2023 23:18,5023,Refund,UPI,Pending,Partial payment.
1099,1918,72,6/13/2021 21:33,18012,Prepayment,UPI,Successful,Partial payment.
1100,832,49,6/9/2024 0:37,42870,Penalty,Online Transfer,Successful,On-time payment.
1101,2404,379,7/22/2021 4:56,43476,Penalty,Cash,Successful,On-time payment.
1102,621,245,9/12/2024 18:26,8604,EMI Payment,Cash,Failed,Partial payment.
1103,807,804,3/6/2024 21:16,31630,Refund,Online Transfer,Successful,On-time payment.
1104,1477,244,6/5/2020 2:47,32522,Refund,Online Transfer,Failed,Late penalty.
1105,2215,870,7/17/2024 6:06,17133,Prepayment,UPI,Pending,Payment missed.
1106,221,524,7/11/2024 18:57,7391,Missed EMI,Online Transfer,Failed,Late penalty.
1107,2888,286,8/19/2021 3:48,7249,Missed EMI,Credit Card,Pending,Late penalty.
1108,256,780,2/26/2020 16:37,22077,Penalty,Credit Card,Pending,On-time payment.
1109,2474,549,2/2/2022 19:44,26810,EMI Payment,Credit Card,Successful,On-time payment.
1110,2644,556,8/12/2024 9:32,7570,Prepayment,UPI,Pending,On-time payment.
1111,73,681,7/20/2020 16:53,48061,EMI Payment,Online Transfer,Successful,Partial payment.
1112,2673,985,1/15/2022 9:10,8352,Refund,Credit Card,Pending,Partial payment.
1113,369,775,4/8/2022 5:01,2342,Refund,Credit Card,Failed,Partial payment.
1114,2869,956,12/9/2022 7:38,25504,Refund,Online Transfer,Failed,Partial payment.
1115,2238,320,3/5/2022 10:19,7725,Prepayment,Credit Card,Failed,Partial payment.
1116,324,958,5/11/2023 23:48,47483,Prepayment,Credit Card,Pending,On-time payment.
1117,1100,106,6/19/2020 20:27,49939,Refund,Credit Card,Failed,On-time payment.
1118,396,695,10/16/2022 8:31,44662,Missed EMI,Cash,Pending,Partial payment.
1119,2599,27,5/15/2022 7:28,26758,EMI Payment,UPI,Failed,Late penalty.
1120,1012,34,3/10/2021 2:22,43584,Prepayment,Cash,Successful,Late penalty.
1121,1593,94,7/28/2024 11:23,24109,EMI Payment,Cash,Successful,On-time payment.
1122,239,749,5/31/2023 7:48,33276,EMI Payment,Credit Card,Pending,Partial payment.
1123,2307,437,7/6/2023 7:09,42312,Refund,Online Transfer,Pending,Partial payment.
1124,952,781,4/10/2022 4:58,15482,Prepayment,Online Transfer,Successful,Late penalty.
1125,2686,649,4/29/2021 1:31,39529,Penalty,Cash,Successful,Payment missed.
1126,907,446,11/8/2024 8:20,47127,EMI Payment,Online Transfer,Successful,Partial payment.
1127,2061,871,1/16/2024 7:16,21327,EMI Payment,Online Transfer,Pending,Late penalty.
1128,13,271,10/18/2021 15:49,20274,Prepayment,Credit Card,Failed,Late penalty.
1129,2716,761,4/26/2023 15:49,39255,Refund,UPI,Pending,Payment missed.
1130,2715,61,4/18/2022 4:58,26869,Penalty,Cash,Pending,On-time payment.
1131,1625,445,11/17/2021 6:15,31998,Missed EMI,Online Transfer,Pending,On-time payment.
1132,150,464,10/18/2024 12:25,3091,EMI Payment,Credit Card,Successful,On-time payment.
1133,1395,872,12/11/2023 0:57,49139,EMI Payment,Credit Card,Failed,Payment missed.
1134,1423,130,5/15/2020 9:34,37436,Prepayment,Cash,Pending,Payment missed.
1135,2590,823,2/13/2023 16:15,34613,Prepayment,Online Transfer,Failed,Payment missed.
1136,1586,951,4/12/2023 20:36,2776,Prepayment,Online Transfer,Successful,Late penalty.
1137,680,591,12/17/2020 10:44,33512,Missed EMI,Cash,Successful,On-time payment.
1138,2030,838,6/27/2023 6:17,32951,Missed EMI,Online Transfer,Pending,Late penalty.
1139,2929,665,10/28/2024 10:45,33791,Penalty,Cash,Pending,Payment missed.
1140,2913,55,10/11/2024 22:43,13440,Missed EMI,Cash,Pending,On-time payment.
1141,1448,935,1/13/2020 14:55,35468,Prepayment,UPI,Pending,Partial payment.
1142,2704,896,1/23/2022 10:04,6368,Missed EMI,UPI,Successful,Late penalty.
1143,2948,899,8/29/2021 15:39,37316,Missed EMI,Online Transfer,Successful,On-time payment.
1144,1660,721,7/16/2023 17:29,5185,Penalty,Cash,Pending,Partial payment.
1145,29,32,6/24/2021 8:26,13234,Missed EMI,UPI,Pending,Payment missed.
1146,2682,259,9/8/2023 20:01,8993,Prepayment,Cash,Successful,On-time payment.
1147,146,811,1/18/2020 22:21,15139,Refund,Cash,Successful,Late penalty.
1148,2260,852,1/11/2021 19:17,24529,EMI Payment,UPI,Successful,Late penalty.
1149,1432,370,1/23/2022 1:54,48756,Refund,Cash,Successful,On-time payment.
1150,2205,268,4/18/2022 19:46,17703,EMI Payment,UPI,Pending,Payment missed.
1151,1740,328,10/8/2023 16:38,30392,Missed EMI,Cash,Pending,Partial payment.
1152,1156,760,5/2/2022 11:10,24578,Missed EMI,Online Transfer,Successful,Payment missed.
1153,873,435,10/30/2020 2:41,18828,Penalty,Cash,Successful,Payment missed.
1154,1425,422,12/6/2021 19:50,16259,Missed EMI,Online Transfer,Successful,Late penalty.
1155,2719,462,3/19/2020 16:15,42581,Prepayment,Online Transfer,Successful,Late penalty.
1156,1732,331,2/17/2024 7:08,18300,Prepayment,Cash,Successful,Partial payment.
1157,1000,957,2/7/2021 11:24,1224,Prepayment,Cash,Pending,Partial payment.
1158,2881,128,6/19/2024 4:29,26922,EMI Payment,UPI,Successful,Payment missed.
1159,1401,246,11/7/2020 19:36,31764,Prepayment,Cash,Successful,On-time payment.
1160,1191,702,3/15/2023 13:49,47057,Prepayment,UPI,Successful,Late penalty.
1161,1519,962,1/18/2020 4:51,17633,Refund,UPI,Failed,On-time payment.
1162,422,464,9/4/2022 5:22,13711,Prepayment,Cash,Pending,On-time payment.
1163,12,544,11/2/2024 19:05,30249,Missed EMI,Credit Card,Failed,On-time payment.
1164,315,99,6/29/2024 16:38,26661,Missed EMI,UPI,Pending,Payment missed.
1165,2512,734,9/5/2022 9:39,7629,Prepayment,Credit Card,Pending,Late penalty.
1166,367,448,4/19/2021 12:53,2335,Prepayment,UPI,Pending,Late penalty.
1167,1927,964,7/15/2023 14:12,3693,Prepayment,Credit Card,Failed,Payment missed.
1168,992,318,2/7/2024 12:23,6957,Refund,Credit Card,Pending,Payment missed.
1169,2172,436,11/1/2022 15:52,22968,EMI Payment,UPI,Successful,Late penalty.
1170,1440,679,8/18/2021 8:41,48693,Prepayment,Credit Card,Failed,Late penalty.
1171,65,384,11/20/2022 12:35,26716,Missed EMI,Cash,Failed,Partial payment.
1172,1156,197,5/7/2021 23:33,26519,EMI Payment,Cash,Pending,Payment missed.
1173,131,781,4/13/2022 8:24,33711,EMI Payment,Online Transfer,Failed,On-time payment.
1174,2086,503,6/17/2024 23:12,49728,EMI Payment,UPI,Pending,Partial payment.
1175,9,891,10/21/2021 0:12,23377,EMI Payment,Credit Card,Pending,Payment missed.
1176,1301,618,6/20/2022 14:06,27018,Prepayment,UPI,Successful,Partial payment.
1177,1471,94,5/6/2023 18:19,15997,Missed EMI,Online Transfer,Successful,Late penalty.
1178,2787,642,11/30/2023 15:49,32622,Penalty,UPI,Failed,Payment missed.
1179,1792,226,11/23/2021 18:39,36558,Refund,Credit Card,Pending,On-time payment.
1180,2319,734,3/20/2021 13:10,31662,Penalty,Credit Card,Successful,Late penalty.
1181,1578,594,5/21/2020 22:43,12021,Penalty,Online Transfer,Failed,Late penalty.
1182,367,638,7/22/2024 23:40,9075,Missed EMI,Online Transfer,Successful,Payment missed.
1183,966,999,10/25/2023 19:59,30742,Missed EMI,UPI,Successful,Payment missed.
1184,1553,406,11/12/2023 17:11,41670,Missed EMI,Credit Card,Pending,Late penalty.
1185,1373,493,12/24/2023 6:58,6251,Penalty,Online Transfer,Failed,Payment missed.
1186,580,845,4/24/2024 7:26,36696,Missed EMI,Credit Card,Successful,Payment missed.
1187,1260,922,7/19/2024 11:42,30241,Missed EMI,UPI,Successful,On-time payment.
1188,1339,567,3/27/2020 6:50,28159,Missed EMI,UPI,Pending,Partial payment.
1189,1211,921,11/21/2022 16:42,19383,Refund,Cash,Pending,Late penalty.
1190,804,989,4/14/2022 5:33,36828,Missed EMI,Online Transfer,Failed,Payment missed.
1191,2520,121,3/4/2020 3:19,26160,Penalty,UPI,Pending,Payment missed.
1192,1251,362,7/9/2020 12:39,7459,Prepayment,Cash,Failed,Partial payment.
1193,156,341,1/3/2022 12:56,7417,Penalty,UPI,Successful,Partial payment.
1194,2318,160,2/17/2022 1:22,8991,Refund,UPI,Successful,Payment missed.
1195,107,74,5/29/2020 1:41,47473,Missed EMI,Credit Card,Pending,Payment missed.
1196,2119,672,9/3/2023 21:56,12988,EMI Payment,Online Transfer,Pending,Late penalty.
1197,1136,904,12/4/2020 18:06,10814,Missed EMI,Cash,Failed,On-time payment.
1198,205,412,6/9/2023 5:42,34033,Missed EMI,Online Transfer,Successful,On-time payment.
1199,1041,504,3/31/2021 7:20,2786,Penalty,Online Transfer,Successful,Late penalty.
1200,685,181,9/1/2020 0:13,26126,Missed EMI,UPI,Pending,Late penalty.
1201,2407,426,1/25/2021 0:38,41554,EMI Payment,Cash,Pending,Partial payment.
1202,1203,646,12/20/2019 23:09,35480,EMI Payment,UPI,Pending,Partial payment.
1203,2026,621,6/29/2023 3:23,10315,Prepayment,Credit Card,Successful,Payment missed.
1204,881,579,1/16/2024 23:02,39597,Refund,Online Transfer,Successful,Partial payment.
1205,2589,677,1/4/2020 1:08,24029,Prepayment,UPI,Pending,Late penalty.
1206,695,792,3/25/2023 14:20,47138,Prepayment,Cash,Successful,On-time payment.
1207,1205,70,1/9/2022 22:09,35010,Prepayment,Credit Card,Pending,Late penalty.
1208,126,583,1/30/2021 7:53,22528,Prepayment,Cash,Successful,Late penalty.
1209,1571,416,12/15/2023 4:10,9672,Missed EMI,Credit Card,Failed,Late penalty.
1210,816,887,2/18/2023 3:36,33313,Missed EMI,UPI,Failed,Partial payment.
1211,1235,81,8/10/2022 17:20,32174,Prepayment,UPI,Failed,Payment missed.
1212,439,264,3/15/2024 22:07,40571,Refund,Online Transfer,Failed,Payment missed.
1213,2223,538,12/13/2023 2:19,48583,EMI Payment,Cash,Failed,Payment missed.
1214,291,480,10/18/2021 20:39,13025,Penalty,Online Transfer,Pending,Payment missed.
1215,390,76,8/10/2024 2:34,33802,Refund,Online Transfer,Pending,Late penalty.
1216,2053,646,10/22/2020 18:25,21417,Penalty,Cash,Successful,Late penalty.
1217,817,883,11/13/2022 20:39,36709,Penalty,Cash,Successful,Payment missed.
1218,1026,583,3/3/2024 19:24,11881,Penalty,UPI,Successful,Late penalty.
1219,839,415,2/19/2022 13:17,23308,Prepayment,Cash,Pending,Late penalty.
1220,2463,407,8/9/2022 11:11,22074,EMI Payment,Cash,Pending,Late penalty.
1221,591,21,8/27/2021 16:24,30970,Penalty,Cash,Successful,Partial payment.
1222,2184,636,12/23/2022 6:04,14227,Missed EMI,Cash,Pending,On-time payment.
1223,1033,691,1/26/2022 18:14,3843,Penalty,UPI,Pending,Partial payment.
1224,976,953,3/1/2020 1:57,47709,Penalty,Credit Card,Failed,Late penalty.
1225,1580,47,7/19/2022 10:28,44414,Refund,UPI,Pending,Late penalty.
1226,2358,60,7/28/2022 21:07,40762,Missed EMI,Cash,Failed,Late penalty.
1227,1389,666,12/19/2022 21:32,12783,Penalty,Online Transfer,Failed,Payment missed.
1228,605,740,12/20/2022 18:39,36900,Penalty,Credit Card,Pending,Payment missed.
1229,2908,367,6/15/2021 22:36,37254,Prepayment,Online Transfer,Failed,Payment missed.
1230,108,482,6/3/2021 13:11,39817,Prepayment,Online Transfer,Successful,Late penalty.
1231,868,11,12/9/2022 11:46,5973,Penalty,UPI,Successful,On-time payment.
1232,1890,331,2/18/2023 10:17,30633,Missed EMI,Cash,Failed,Partial payment.
1233,119,542,10/12/2023 7:46,20243,Penalty,Cash,Failed,On-time payment.
1234,1636,607,4/10/2023 17:43,17320,Missed EMI,Credit Card,Pending,On-time payment.
1235,1514,60,11/17/2023 14:09,24201,Penalty,Cash,Pending,Late penalty.
1236,2262,207,12/10/2022 5:07,11524,Prepayment,Credit Card,Failed,Late penalty.
1237,3000,455,1/27/2023 18:52,45226,Penalty,Credit Card,Successful,Partial payment.
1238,229,891,12/31/2023 21:37,15184,EMI Payment,Cash,Failed,Partial payment.
1239,1214,687,11/10/2022 16:53,36088,Missed EMI,Cash,Failed,Payment missed.
1240,2496,790,1/17/2023 13:22,14107,Missed EMI,Online Transfer,Pending,On-time payment.
1241,1246,285,4/8/2022 16:21,12337,Refund,Credit Card,Failed,Late penalty.
1242,2739,676,7/6/2021 2:09,39315,Missed EMI,Cash,Failed,Payment missed.
1243,1793,415,8/7/2024 17:11,5860,Penalty,Credit Card,Failed,On-time payment.
1244,1818,784,3/6/2020 19:58,5596,Prepayment,UPI,Failed,Late penalty.
1245,930,334,7/23/2024 12:38,43780,Prepayment,Online Transfer,Failed,On-time payment.
1246,2282,198,10/3/2020 5:00,1740,EMI Payment,Online Transfer,Successful,On-time payment.
1247,1059,444,6/1/2020 23:37,23730,EMI Payment,Cash,Failed,Partial payment.
1248,2555,80,12/1/2019 10:47,19124,Penalty,Online Transfer,Successful,Partial payment.
1249,1226,769,5/6/2020 23:58,19902,Penalty,UPI,Successful,Partial payment.
1250,2792,869,7/31/2021 6:35,43913,Penalty,Credit Card,Pending,Payment missed.
1251,754,915,4/21/2023 0:33,36291,Missed EMI,Credit Card,Pending,Late penalty.
1252,1711,136,6/30/2020 1:11,22423,Penalty,Online Transfer,Successful,Payment missed.
1253,872,922,7/20/2021 0:35,16931,Prepayment,Cash,Pending,On-time payment.
1254,241,440,1/10/2020 13:12,32483,Refund,Credit Card,Pending,On-time payment.
1255,2636,566,6/13/2021 2:48,20297,Missed EMI,UPI,Pending,On-time payment.
1256,2199,886,12/13/2021 23:43,41280,Prepayment,Cash,Failed,Late penalty.
1257,50,618,4/19/2020 8:14,27939,EMI Payment,Credit Card,Failed,Late penalty.
1258,218,508,12/14/2022 23:26,49957,Penalty,Online Transfer,Successful,Late penalty.
1259,2769,325,12/27/2023 16:56,6483,EMI Payment,Credit Card,Pending,On-time payment.
1260,1604,473,9/15/2023 1:53,42612,Prepayment,Credit Card,Pending,Partial payment.
1261,1006,352,12/1/2022 10:10,2556,Prepayment,Online Transfer,Pending,Partial payment.
1262,761,585,12/29/2023 15:45,48876,Refund,Cash,Pending,Late penalty.
1263,727,420,1/31/2023 2:09,23871,Refund,Online Transfer,Failed,Late penalty.
1264,2522,900,10/24/2020 12:53,9341,Penalty,UPI,Failed,Late penalty.
1265,1454,903,2/12/2020 8:56,31529,Prepayment,Online Transfer,Pending,Partial payment.
1266,1284,628,6/3/2020 2:50,28592,Refund,Online Transfer,Successful,Partial payment.
1267,685,357,5/25/2022 22:05,1370,Missed EMI,Online Transfer,Pending,Payment missed.
1268,2814,8,10/29/2024 18:56,10142,Penalty,Cash,Failed,On-time payment.
1269,2537,900,1/13/2021 14:31,11935,Prepayment,Cash,Failed,Partial payment.
1270,880,675,11/19/2023 4:22,11810,EMI Payment,Online Transfer,Failed,Payment missed.
1271,1207,139,8/11/2021 2:30,24975,EMI Payment,Cash,Pending,Late penalty.
1272,839,152,3/15/2024 9:54,5181,Refund,Credit Card,Failed,Late penalty.
1273,258,941,9/6/2022 16:19,41798,Missed EMI,UPI,Pending,On-time payment.
1274,1374,173,1/6/2024 11:59,25677,Missed EMI,UPI,Successful,Late penalty.
1275,1642,901,11/7/2021 22:45,23987,Refund,Cash,Successful,On-time payment.
1276,2215,272,7/18/2020 15:55,36932,Prepayment,UPI,Failed,Late penalty.
1277,997,916,5/16/2024 8:34,35017,Penalty,Cash,Failed,Late penalty.
1278,877,188,4/27/2020 1:34,6203,Missed EMI,Online Transfer,Successful,Late penalty.
1279,1798,762,11/23/2020 11:17,19036,EMI Payment,Credit Card,Failed,Late penalty.
1280,2759,660,5/9/2020 11:03,48054,Missed EMI,Online Transfer,Pending,Partial payment.
1281,817,206,6/10/2020 23:38,45589,Missed EMI,UPI,Successful,Late penalty.
1282,1537,261,6/10/2022 13:51,25417,EMI Payment,Credit Card,Pending,Late penalty.
1283,412,978,4/29/2023 16:36,8010,Missed EMI,Online Transfer,Pending,On-time payment.
1284,1726,106,7/22/2022 20:55,45908,EMI Payment,Cash,Pending,On-time payment.
1285,1019,921,12/15/2019 11:27,10220,Penalty,UPI,Pending,On-time payment.
1286,2791,749,8/28/2021 12:33,38233,Refund,Credit Card,Pending,Payment missed.
1287,2533,978,2/11/2024 1:01,28327,Prepayment,Online Transfer,Pending,On-time payment.
1288,1710,186,4/20/2024 18:32,43482,Missed EMI,Online Transfer,Failed,Payment missed.
1289,250,458,1/10/2022 18:20,48416,Missed EMI,Cash,Successful,On-time payment.
1290,2767,679,3/8/2020 14:38,37344,Prepayment,Credit Card,Failed,Partial payment.
1291,1876,840,7/30/2024 7:04,10954,Missed EMI,UPI,Successful,Partial payment.
1292,1390,659,4/14/2024 20:29,44302,Refund,UPI,Failed,Partial payment.
1293,1415,918,9/27/2023 4:09,45860,Penalty,UPI,Pending,On-time payment.
1294,864,812,7/29/2022 1:35,26302,Refund,Credit Card,Successful,Payment missed.
1295,902,6,10/20/2020 7:45,28522,Refund,Credit Card,Failed,Partial payment.
1296,401,355,9/4/2023 3:02,17237,EMI Payment,Credit Card,Successful,Partial payment.
1297,559,598,1/11/2024 12:25,46291,EMI Payment,Online Transfer,Pending,On-time payment.
1298,502,555,10/16/2021 18:51,21312,EMI Payment,Credit Card,Pending,Partial payment.
1299,2545,474,7/14/2023 14:55,14611,Prepayment,UPI,Successful,On-time payment.
1300,1898,114,9/30/2024 5:07,2140,Missed EMI,Online Transfer,Failed,On-time payment.
1301,1326,827,11/30/2022 12:17,2455,Missed EMI,Online Transfer,Successful,Partial payment.
1302,1246,206,5/17/2020 2:29,17993,Refund,Credit Card,Pending,Partial payment.
1303,1595,543,8/27/2023 4:41,30111,Prepayment,Online Transfer,Failed,On-time payment.
1304,493,11,11/28/2022 5:49,47017,Refund,Credit Card,Failed,Payment missed.
1305,517,28,8/26/2020 16:56,48515,Penalty,Credit Card,Pending,Partial payment.
1306,1996,986,10/26/2022 16:48,34413,Penalty,Cash,Pending,Payment missed.
1307,939,102,9/9/2024 10:18,9241,EMI Payment,UPI,Successful,Payment missed.
1308,2192,525,2/11/2021 17:52,1768,Prepayment,Credit Card,Failed,Late penalty.
1309,2766,717,5/26/2020 12:55,16845,Missed EMI,UPI,Failed,Payment missed.
1310,1784,177,5/30/2024 15:39,8518,EMI Payment,Cash,Failed,On-time payment.
1311,1507,476,9/12/2024 9:22,43565,Missed EMI,Online Transfer,Successful,On-time payment.
1312,2919,953,4/2/2024 19:46,7886,Refund,Cash,Successful,Partial payment.
1313,1341,680,8/16/2023 22:22,49242,Prepayment,UPI,Pending,On-time payment.
1314,2710,379,12/8/2023 8:51,6983,Prepayment,UPI,Successful,On-time payment.
1315,1941,629,11/15/2022 16:16,19618,Prepayment,Cash,Failed,Payment missed.
1316,855,708,10/13/2021 23:45,49876,Refund,Online Transfer,Successful,Payment missed.
1317,2826,297,3/23/2024 8:24,7484,Penalty,Online Transfer,Successful,Partial payment.
1318,301,213,9/13/2023 8:26,45474,Refund,UPI,Pending,Late penalty.
1319,1555,729,1/1/2023 8:13,2266,Penalty,UPI,Successful,On-time payment.
1320,661,950,5/9/2024 9:20,42639,Penalty,Cash,Pending,Partial payment.
1321,1069,935,5/29/2020 13:05,4702,EMI Payment,Online Transfer,Pending,Payment missed.
1322,338,174,5/20/2021 22:20,41846,Penalty,Online Transfer,Pending,Payment missed.
1323,2108,669,7/28/2021 3:26,22227,Penalty,UPI,Pending,Partial payment.
1324,2923,132,2/6/2024 8:29,16088,Missed EMI,UPI,Successful,Late penalty.
1325,1215,932,10/27/2020 0:58,38492,Refund,Online Transfer,Pending,Payment missed.
1326,236,266,4/30/2020 12:05,17718,EMI Payment,Online Transfer,Failed,On-time payment.
1327,78,826,11/11/2022 22:21,6945,Refund,Credit Card,Successful,Late penalty.
1328,2479,298,5/1/2021 10:54,1625,Penalty,Online Transfer,Successful,Late penalty.
1329,46,235,6/25/2022 1:43,9938,Missed EMI,Online Transfer,Pending,On-time payment.
1330,954,303,8/7/2023 7:48,24792,Refund,Cash,Pending,Partial payment.
1331,809,255,10/19/2021 23:25,4433,Refund,Online Transfer,Failed,Payment missed.
1332,475,384,12/23/2023 4:21,36542,Prepayment,UPI,Pending,Late penalty.
1333,2535,636,10/29/2020 23:46,18556,Penalty,UPI,Pending,Payment missed.
1334,2217,509,11/3/2022 18:36,31328,Refund,Cash,Pending,Payment missed.
1335,63,494,9/11/2021 22:19,25233,EMI Payment,UPI,Pending,On-time payment.
1336,2403,691,1/30/2020 13:57,23844,EMI Payment,Online Transfer,Successful,Payment missed.
1337,1001,296,3/22/2022 19:07,23850,EMI Payment,Credit Card,Pending,Partial payment.
1338,108,482,8/6/2023 22:51,39857,EMI Payment,Credit Card,Pending,On-time payment.
1339,1467,425,2/3/2023 20:13,7087,Penalty,UPI,Pending,On-time payment.
1340,1165,907,7/7/2023 9:44,18669,EMI Payment,UPI,Pending,Late penalty.
1341,1717,197,8/23/2021 14:57,1491,Prepayment,UPI,Successful,Late penalty.
1342,440,577,12/30/2020 2:27,34256,Penalty,Online Transfer,Successful,On-time payment.
1343,403,22,2/8/2020 5:38,16154,Refund,Online Transfer,Pending,On-time payment.
1344,990,70,9/16/2020 4:24,42587,Penalty,UPI,Failed,Late penalty.
1345,2422,44,9/3/2024 21:47,7610,EMI Payment,Credit Card,Successful,On-time payment.
1346,2209,233,5/8/2023 17:38,44142,Missed EMI,Credit Card,Failed,Late penalty.
1347,9,33,6/23/2021 10:56,2833,Prepayment,Online Transfer,Pending,Late penalty.
1348,1296,745,4/3/2023 18:36,13737,Prepayment,Cash,Successful,Partial payment.
1349,267,117,3/7/2022 16:20,25659,Prepayment,Cash,Pending,Late penalty.
1350,1574,577,5/4/2021 2:49,17415,EMI Payment,Cash,Pending,Payment missed.
1351,1324,467,6/16/2022 6:33,33328,Missed EMI,Credit Card,Pending,Partial payment.
1352,2508,673,4/3/2021 20:18,31509,Missed EMI,UPI,Failed,Partial payment.
1353,1920,693,1/8/2021 19:45,21823,Penalty,UPI,Successful,Late penalty.
1354,1759,981,6/29/2021 21:26,21175,Prepayment,Credit Card,Failed,Payment missed.
1355,2667,333,7/10/2022 3:30,49807,Refund,UPI,Pending,Late penalty.
1356,2154,342,1/9/2022 1:53,3401,Prepayment,UPI,Successful,Partial payment.
1357,2644,859,10/26/2020 20:44,40626,EMI Payment,Cash,Failed,Late penalty.
1358,2391,847,6/5/2024 19:14,13797,Penalty,Online Transfer,Pending,Partial payment.
1359,530,195,8/6/2024 16:37,27048,Missed EMI,Online Transfer,Pending,Partial payment.
1360,979,702,10/22/2022 1:59,4295,Penalty,UPI,Pending,On-time payment.
1361,2115,974,4/13/2022 0:10,33331,Penalty,UPI,Pending,Late penalty.
1362,446,514,10/15/2021 9:26,18641,EMI Payment,Credit Card,Failed,Partial payment.
1363,738,808,8/9/2020 6:38,41928,Missed EMI,Online Transfer,Successful,On-time payment.
1364,2538,505,5/31/2020 5:47,38282,Missed EMI,Online Transfer,Failed,Payment missed.
1365,197,174,4/24/2021 0:30,17691,EMI Payment,Cash,Failed,Late penalty.
1366,277,531,6/20/2023 0:15,46065,Penalty,Credit Card,Failed,Payment missed.
1367,2337,243,6/14/2020 14:06,4265,Refund,Online Transfer,Successful,Partial payment.
1368,1799,35,6/22/2024 9:25,45069,Refund,Online Transfer,Pending,Partial payment.
1369,159,215,7/13/2024 22:24,20545,Missed EMI,Online Transfer,Successful,Late penalty.
1370,266,412,12/14/2023 3:21,11366,Prepayment,UPI,Successful,On-time payment.
1371,1053,92,10/13/2023 23:34,48734,Penalty,Online Transfer,Successful,Payment missed.
1372,1679,995,7/28/2021 1:49,39313,Refund,Online Transfer,Pending,Payment missed.
1373,2244,416,3/24/2022 23:45,45321,Penalty,Cash,Failed,Partial payment.
1374,1123,229,5/22/2023 13:15,4874,Refund,Credit Card,Pending,Partial payment.
1375,307,95,7/24/2023 16:10,39941,Missed EMI,UPI,Pending,Partial payment.
1376,1919,12,8/4/2023 5:33,6261,EMI Payment,Credit Card,Failed,Partial payment.
1377,214,749,11/3/2020 8:04,37712,Missed EMI,Online Transfer,Pending,Partial payment.
1378,2975,45,12/6/2019 22:56,39485,EMI Payment,Cash,Failed,On-time payment.
1379,435,928,3/8/2024 16:11,28247,EMI Payment,UPI,Failed,On-time payment.
1380,2337,556,7/14/2024 22:22,2486,Prepayment,Online Transfer,Failed,On-time payment.
1381,2591,130,6/29/2023 5:47,4059,Refund,Cash,Successful,Payment missed.
1382,2768,358,1/25/2023 23:56,34218,Refund,UPI,Pending,On-time payment.
1383,1974,466,11/30/2020 14:15,10261,Penalty,Credit Card,Failed,Payment missed.
1384,603,532,8/29/2024 16:14,35210,Penalty,Cash,Pending,Partial payment.
1385,2037,83,4/12/2023 22:53,20206,Missed EMI,Cash,Pending,Late penalty.
1386,2730,903,7/4/2021 10:29,2229,Refund,Cash,Successful,Payment missed.
1387,2871,891,4/3/2022 2:33,39037,Missed EMI,Cash,Pending,Late penalty.
1388,1608,176,1/10/2022 9:48,34940,Penalty,Credit Card,Failed,Late penalty.
1389,2992,115,8/6/2021 6:33,20687,Missed EMI,UPI,Failed,Late penalty.
1390,1533,37,7/9/2020 19:54,38614,Prepayment,UPI,Successful,Payment missed.
1391,2209,816,10/27/2021 3:17,46688,Penalty,UPI,Pending,Partial payment.
1392,342,434,5/31/2023 17:49,36507,Prepayment,Cash,Failed,Payment missed.
1393,2459,652,5/26/2022 22:33,5072,Prepayment,UPI,Pending,On-time payment.
1394,112,353,2/7/2020 13:57,22312,Prepayment,Cash,Pending,On-time payment.
1395,1598,459,1/12/2022 8:33,8022,Prepayment,UPI,Failed,Late penalty.
1396,1129,459,5/1/2020 8:46,43096,Missed EMI,UPI,Failed,Payment missed.
1397,2397,714,10/11/2023 1:33,42419,Penalty,UPI,Successful,Partial payment.
1398,378,464,10/7/2024 4:15,26783,EMI Payment,Cash,Failed,Payment missed.
1399,1336,235,2/24/2022 23:18,48475,Prepayment,Cash,Successful,Payment missed.
1400,2381,273,5/10/2022 0:27,19983,Refund,UPI,Pending,Late penalty.
1401,1916,497,1/18/2021 16:37,47110,Penalty,UPI,Successful,On-time payment.
1402,52,377,11/27/2022 11:06,6720,Penalty,Credit Card,Successful,Partial payment.
1403,817,315,5/21/2021 3:40,24160,Penalty,Online Transfer,Pending,On-time payment.
1404,1103,184,9/10/2021 0:39,2641,EMI Payment,Cash,Failed,On-time payment.
1405,1131,120,3/12/2023 7:20,17620,Refund,Cash,Pending,Payment missed.
1406,581,510,11/1/2022 0:24,47942,Prepayment,UPI,Successful,On-time payment.
1407,174,533,12/2/2023 23:40,36571,Penalty,Cash,Failed,On-time payment.
1408,299,381,11/7/2023 0:22,16249,Missed EMI,Cash,Successful,Late penalty.
1409,164,778,5/31/2021 12:08,23277,Prepayment,Credit Card,Successful,On-time payment.
1410,1685,282,5/16/2022 16:56,32612,Prepayment,Cash,Pending,Partial payment.
1411,2854,855,12/15/2020 10:34,23302,Missed EMI,Cash,Successful,Payment missed.
1412,869,831,11/3/2024 18:45,1695,Prepayment,Online Transfer,Pending,On-time payment.
1413,1624,88,6/27/2021 2:03,49865,Penalty,Online Transfer,Successful,Late penalty.
1414,2153,424,8/29/2024 19:07,39437,EMI Payment,Cash,Failed,On-time payment.
1415,2576,216,4/21/2021 13:43,45222,Penalty,Online Transfer,Successful,Partial payment.
1416,1429,676,10/15/2021 7:11,20106,Prepayment,UPI,Pending,Partial payment.
